,msno,city,age,gender,registered_via,registration_init_time
94,bPHi7VPQkMtdeIqJAktzYSITpRSt9F9mCdhddPTSlOY=,15,17.0,female,3.0,2014-10-21
309,0uAjNEzX6IY+lZ+PYv9W31mZjHxUWkbFz9LL8m9G46k=,15,23.0,female,7.0,2014-11-03
645,UXmaug3gaadL7IPD+liAWEObCyiwGERi1cU/I0TN3Ik=,1,,,9.0,2016-12-31
755,oPAvKbLLEAxCbKmSQTogQRkaHs+zP4lQa1CwFZSNi2o=,1,,,4.0,2017-01-05
1068,oXrWnFQd/ZhkZ/8s3j8bRHH7ucPGlFJYWTh34RCf9uM=,1,,,7.0,2017-01-21
1577,DmNMeWtvaqaYKoQoO4VtT7bLsLVzdvpvPX4pUnZPz0o=,5,35.0,female,9.0,2007-04-02
1699,Sf8eYP3kQPUu8NqfM/sXi1MD+mS1lQzMXkwLPMdm6MU=,1,,,7.0,2011-10-07
1854,pCZtnVD7jNkE+FV1q4Ojag8iRO+maKb7SbOal0SaR4s=,15,28.0,male,3.0,2014-10-29
2215,t5yN5FwhvS85HXdLxWT4LQnBEuWLGrgULdkw7GlHLkc=,5,30.0,male,9.0,2009-02-02
2354,5z4w+3H7Qu8eJxhO20SAOBc+6nPLW/Q5eY4CMKUJVGU=,9,42.0,female,9.0,2007-09-21
3452,gLGjby2Ge62IqGu5PGuWA8OFHd7HenAZVaUcH7SKPIc=,13,20.0,female,3.0,2013-02-04
3872,YJsfmujQRx+05y2/Isfr4Kks0KLNhdb3+ueRS2gcii8=,22,35.0,female,9.0,2015-02-04
4686,MkQazaxO8CUj3nSE/8MEcDR6jR7seWorjYtnV0dN5tM=,4,22.0,female,7.0,2017-01-09
6224,Wvfypyc63QyuH7aHTI/SGEofMjXrkGUOrsgdmELOl5o=,1,,,7.0,2016-07-31
6386,Rn8kvUjduKnau13QSDcIXx+jFyJdy2tY4qzsA2oQJtw=,13,27.0,male,7.0,2016-08-07
8083,xlefTZlu1BqST/WCwImCWDSvMBi/3ej5EoCr8yMEVJ0=,13,24.0,female,9.0,2011-01-14
8248,58tG74ssnJpRlJUlygRFkVbZRuLztH1k6Hc4UkwZgeQ=,13,33.0,female,7.0,2011-04-01
8487,mRbeIVIw7aAZUZB1iD8g4df0gM+sSFxPB2hYKlM0QpM=,5,33.0,female,7.0,2012-02-27
8591,dNX0aqhfL+XOvzVfhZlvbVEmvq4qHsS0zq7k3PB+RHA=,1,,,7.0,2012-04-04
