,msno,is_churn,city,age,gender,registered_via,registration_init_time,gender_nan,gender_female,gender_male,total_days_since_joined,cost_per_month,on_auto_renew,payment_method_latest,churn_returned_in_past,churn_returned_num_times,churned_full_in_past,churned_full_num_times,churned_any_in_past,churned_any_num_times,total_mins_last_month,total_mins_last_6_months,num_unique_last_month,num_unique_last_6_months,num_songs_started_last_month,num_songs_started_last_6_months,num_songs_listened_last_month,num_songs_listened_last_6_months,num_songs_finished_last_month,num_songs_finished_last_6_months,songs_affinity_nps_last_month,songs_affinity_nps_last_6_months,songs_percent_loved_last_month,songs_percent_loved_last_6_months,songs_percent_disliked_last_month,songs_percent_disliked_last_6_months,active_days_L30_last_month,active_days_L30_last_6_months_avg,is_MAU_last_month,is_WAU_last_month,is_WAU_last_6_months,is_DAU_last_month,is_DAU_last_6_months,avg_min_per_song,last_6_months_avg_monthly_mins,last_month_vs_6_month_avg
0,GjdWJ5iCawbLfsPpRI5xkIwwpd8oCAGiB5dLCBFIEog=,0,1.0,,,7.0,2016-06-04,1,0,0,242.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,0.0,2570.556483333333,0.0,609.0,0.0,806.0,0.0,596.0,0.0,516.0,,0.43672456575682383,,0.6972704714640199,,0.20099255583126552,0.0,10.0,False,False,False,False,False,,428.4260805555555,0.0
1,7/7ebApkG0bEw7h1G2tL8ETyhAbqqTRN/7ZXHliRY90=,0,22.0,25.0,female,3.0,2013-02-27,0,1,0,1435.0,149.0,1.0,39.0,False,0.0,False,0.0,False,0.0,3063.6401666666666,12004.033600000002,798.0,2686.0,921.0,3566.0,793.0,3104.0,767.0,2984.0,0.7068403908794788,0.7274256870443073,0.8458197611292074,0.8569826135726304,0.11834961997828447,0.10263600673022995,25.0,20.666666666666668,True,True,False,True,False,3.3264279768367717,2000.6722666666672,1.5313053605581373
2,gQTPK2W2+Fbwhx7l04kg/yMyOL68zbXibrqt/SMtjc8=,0,22.0,31.0,male,9.0,2006-10-22,0,0,1,3755.0,149.0,1.0,34.0,False,0.0,False,0.0,False,0.0,6858.65335,50784.68980000001,1798.0,13142.0,1829.0,13410.0,1699.0,12714.0,1645.0,12511.0,0.8408966648441771,0.8873974645786726,0.9119737561509021,0.9392990305741984,0.05850191361399672,0.044444444444444446,18.0,20.666666666666668,True,True,False,False,False,3.7499471569163476,8464.114966666668,0.8103213835127135
3,o+ocfyzqpxd79+Lt1W305vQ90gnqOpToLRQdxnLeUDE=,0,22.0,25.0,female,9.0,2015-03-27,0,1,0,677.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,838.6516333333333,6936.308483333332,398.0,2121.0,446.0,2500.0,198.0,1655.0,174.0,1495.0,-0.13901345291479822,0.2944,0.4170403587443946,0.6324,0.4820627802690583,0.2736,12.0,14.5,True,True,False,False,False,1.8803848281016442,1156.0514138888886,0.7254449268066363
4,Uxut7Crxl0njiRxUo9EVcM5+wp9nLlVMMROQakXjmVI=,0,1.0,,,7.0,2014-08-15,1,0,0,901.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,8466.993133333333,16994.33063333333,687.0,2334.0,2406.0,5007.0,2326.0,4561.0,2298.0,4441.0,0.9285120532003325,0.8108647892949871,0.9617622610141313,0.8999400838825644,0.024106400665004156,0.07269822248851608,23.0,13.666666666666666,True,True,False,True,False,3.519116015516764,2832.3884388888887,2.9893474415729613
5,43MvMYy/tdgwR7gup5Z+Lg4gX37AtGrD1s3NAOv7FmY=,0,,,,,,1,0,0,,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
6,qtUP9im/8hqxocTnWUT8fxN73mWa+GtJpwLbgMDfiaE=,0,1.0,,,9.0,2012-04-06,1,0,0,1762.0,149.0,1.0,30.0,False,0.0,False,0.0,False,0.0,4328.077433333333,27450.893083333332,949.0,5036.0,1209.0,6986.0,1052.0,6475.0,1016.0,6353.0,0.7237386269644334,0.8449756656169481,0.8535980148883374,0.9181219582021185,0.10918114143920596,0.06140853134841111,28.0,26.5,True,True,True,True,False,3.5798820788530463,4575.148847222222,0.9459970763489155
7,PBEmnVfvDNhFnHcxkJF5HY4zIdmQ8G8nVeL55DeHgNc=,0,1.0,,,7.0,2015-12-10,1,0,0,419.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1719.6935000000003,12156.446933333335,414.0,3116.0,501.0,3901.0,414.0,3128.0,388.0,2943.0,0.6287425149700598,0.5798513201743143,0.8023952095808383,0.778005639579595,0.13373253493013973,0.16329146372724943,13.0,19.5,True,True,False,False,False,3.432521956087825,2026.0744888888892,0.8487809848210912
8,oUwv9mGJqtPzyKI1EF+h1D9JpwHQizKk8/W4JffSJUI=,0,1.0,,,7.0,2015-09-03,1,0,0,517.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,0.0,818.3285833333334,0.0,274.0,0.0,329.0,0.0,194.0,0.0,139.0,,0.0972644376899696,,0.5075987841945289,,0.3221884498480243,0.0,3.0,False,False,False,False,False,,136.38809722222223,0.0
9,e0rpjawt5+SDj29tSJwnfupi7zy2DOGknAKQuOF8Jrs=,0,,,,,,1,0,0,,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
