,msno,is_churn,city,age,gender,registered_via,registration_init_time,gender_male,gender_nan,gender_female,total_days_since_joined,cost_per_month,on_auto_renew,payment_method_latest,churn_returned_in_past,churn_returned_num_times,churned_full_in_past,churned_full_num_times,churned_any_in_past,churned_any_num_times,total_mins_last_month,total_mins_last_6_months,num_unique_last_month,num_unique_last_6_months,num_songs_started_last_month,num_songs_started_last_6_months,num_songs_listened_last_month,num_songs_listened_last_6_months,num_songs_finished_last_month,num_songs_finished_last_6_months,songs_affinity_nps_last_month,songs_affinity_nps_last_6_months,songs_percent_loved_last_month,songs_percent_loved_last_6_months,songs_percent_disliked_last_month,songs_percent_disliked_last_6_months,active_days_L30_last_month,active_days_L30_last_6_months_avg,is_MAU_last_month,is_WAU_last_month,is_WAU_last_6_months,is_DAU_last_month,is_DAU_last_6_months,avg_min_per_song,last_6_months_avg_monthly_mins,last_month_vs_6_month_avg
0,7XzKdS9Twy5iCOBbJJOCWSDO3yQZe6N9X406X/RNUmE=,0,6.0,23.0,male,9.0,2014-05-05,1,0,0,1003.0,149.0,1.0,37.0,False,0.0,False,0.0,False,0.0,2461.1737999999996,14308.444633333334,474.0,3020.0,626.0,3570.0,588.0,3421.0,559.0,3356.0,0.8642172523961661,0.9072829131652661,0.9249201277955271,0.9490196078431372,0.0463258785942492,0.031932773109243695,14.0,12.333333333333334,True,True,False,False,False,3.9315875399361015,2384.7407722222224,1.032050874739963
1,1fGqmenGWbtZjovaEVGoJnQUxkr75kBSTSRR2PKSbqc=,1,1.0,,,7.0,2010-12-09,0,1,0,2246.0,99.0,1.0,41.0,True,1.0,False,0.0,True,1.0,175.7264,563.1803333333334,28.0,75.0,64.0,231.0,38.0,158.0,32.0,150.0,0.140625,0.3463203463203463,0.546875,0.6623376623376623,0.328125,0.27705627705627706,3.0,2.0,True,False,False,False,False,2.745725,93.86338888888889,1.8721506018498515
2,gwZyVGRXGMbZpUZVRgyfuB8WRoFEuu+nIARamrw45UI=,0,13.0,34.0,female,7.0,2011-03-19,0,0,1,2146.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,983.18305,5043.577483333333,81.0,613.0,241.0,1615.0,216.0,1390.0,207.0,1341.0,0.7800829875518672,0.7071207430340557,0.8838174273858921,0.8464396284829722,0.0912863070539419,0.12321981424148606,16.0,9.0,True,True,False,False,False,4.079597717842324,840.5962472222221,1.169625790323191
3,/NcOI9aXZryS41szLZHqxO/aKqgUE/6sValyWPjAYYM=,1,22.0,26.0,male,4.0,2015-10-20,1,0,0,470.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,2170.0312499999995,11838.196683333334,507.0,3504.0,582.0,3758.0,512.0,2829.0,490.0,2678.0,0.7422680412371134,0.48270356572645023,0.8625429553264605,0.7299095263437999,0.09621993127147767,0.19771154869611496,26.0,25.5,True,True,False,True,False,3.7285760309278344,1973.0327805555555,1.099845512647273
4,Y3F1e044Yo4IjWOGQiYgIgYb5OrvG33J4kKlctqLIRc=,1,13.0,18.0,male,9.0,2012-04-01,1,0,0,1767.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,1174.8083333333334,13578.356366666665,256.0,2221.0,331.0,3426.0,286.0,3105.0,264.0,2994.0,0.6918429003021148,0.7945125510799766,0.8277945619335347,0.8882078225335669,0.10876132930513595,0.0691768826619965,6.0,8.833333333333334,True,True,False,False,False,3.549269889224572,2263.059394444444,0.5191239506207197
5,NX4r2p+4A2+iZC+YN3cDch2pdE2h3I/mlmnq11H4YVI=,0,6.0,27.0,female,9.0,2012-11-25,0,0,1,1529.0,149.0,1.0,37.0,False,0.0,False,0.0,False,0.0,8248.489150000001,30931.25255,1667.0,6363.0,2290.0,8867.0,2204.0,8273.0,2189.0,8153.0,0.9213973799126638,0.8607195218224879,0.9589519650655022,0.9277094846058419,0.031004366812227076,0.054584414119769935,30.0,25.166666666666668,True,True,False,True,False,3.6019603275109175,5155.208758333333,1.6000300931880629
6,NVIKhtmO79pij3a0YqGI/nI7M0V7nHZgWyYGSGK3m1s=,0,1.0,,,7.0,2014-11-12,0,1,0,812.0,99.0,1.0,41.0,True,1.0,False,0.0,True,1.0,0.0,237.5362166666667,0.0,73.0,0.0,78.0,0.0,49.0,0.0,41.0,,0.21794871794871795,,0.5897435897435898,,0.21794871794871795,0.0,1.3333333333333333,False,False,False,False,False,,39.58936944444445,0.0
7,fvShMRgUr/XGfYLG8O1TIBpUjqp3DAUPln4LeTUksdQ=,0,13.0,45.0,female,7.0,2012-01-20,0,0,1,1839.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,456.9922333333332,3471.112116666666,113.0,531.0,161.0,1040.0,107.0,811.0,102.0,762.0,0.32298136645962733,0.5317307692307692,0.6583850931677019,0.7519230769230769,0.2857142857142857,0.19423076923076923,13.0,11.833333333333334,True,True,False,False,False,2.838461076604554,578.518686111111,0.7899351296762828
8,IG5lGN5Q559c/9Zld4n7twEfDw4hWPVnLC5IEnIDsOI=,0,5.0,21.0,male,9.0,2011-11-10,1,0,0,1910.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,3854.3737666666666,14985.377483333334,1162.0,4495.0,1259.0,5188.0,936.0,3596.0,849.0,3221.0,0.4551231135822081,0.35292983808789513,0.7116759332803813,0.6597918272937549,0.2136616362192216,0.2636854279105628,23.0,22.333333333333332,True,True,False,True,False,3.061456526343659,2497.562913888889,1.5432539237480603
9,bVoqLizePjGBLsRVmarvbCEHUMRY8K7RqTchXyuuxB0=,0,1.0,,,7.0,2015-07-19,0,1,0,563.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,317.3186,1701.48565,75.0,572.0,109.0,684.0,77.0,389.0,62.0,268.0,0.3486238532110092,0.07309941520467836,0.6422018348623854,0.5043859649122807,0.2018348623853211,0.34649122807017546,11.0,11.833333333333334,True,True,False,False,False,2.9111798165137617,283.58094166666666,1.1189701188487837
